Policy Number,Contract No.,Coverage No.,Account Type,Fund Code,Fund Name,Units Held,Price Date,Fund Ccy,Price,Amount in Fund Ccy,Amount in Contract Ccy,Portfolio Weighting
28958,28958,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.08496,22/01/2018,USD,207.96,6048.51,47178.36,15.29
28958,28958,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.7272,22/01/2018,USD,172.34,4261.49,33239.59,10.77
28958,28958,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,391.54273,22/01/2018,USD,18.52,7251.37,56560.7,18.33
28958,28958,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.74786,22/01/2018,USD,202.2555,6421.18,50085.2,16.23
28958,28958,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.13267,22/01/2018,USD,139.8678,4074.72,31782.84,10.3
28958,28958,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.4105,22/01/2018,USD,152.31,4936.44,38504.26,12.48
28958,28958,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),350.93742,22/01/2018,USD,18.74,6576.57,51297.22,16.62
28958,28958,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88605,22/01/2018,USD,207.96,184.26,1437.25,15.29
28958,28958,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75329,22/01/2018,USD,172.34,129.82,1012.61,10.77
28958,28958,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.92806,22/01/2018,USD,18.52,220.91,1723.08,18.33
28958,28958,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96717,22/01/2018,USD,202.2555,195.62,1525.8,16.23
28958,28958,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.8875,22/01/2018,USD,139.8678,124.13,968.23,10.3
28958,28958,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98736,22/01/2018,USD,152.31,150.38,1173,12.48
28958,28958,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69103,22/01/2018,USD,18.74,200.35,1562.73,16.62
30256,30256,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,28.91695,22/01/2018,USD,207.96,6013.57,46905.84,15.29
30256,30256,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.58439,22/01/2018,USD,172.34,4236.87,33047.62,10.77
30256,30256,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,389.28088,22/01/2018,USD,18.52,7209.48,56233.96,18.33
30256,30256,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.56445,22/01/2018,USD,202.2555,6384.08,49795.85,16.23
