Policy Number,Contract No.,Coverage No.,Account Type,Fund Code,Fund Name,Units Held,Price Date,Fund Ccy,Price,Amount in Fund Ccy,Amount in Contract Ccy,Portfolio Weighting
28958,28958,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.08496,17/01/2018,USD,205.6,5979.87,46642.97,15.24
28958,28958,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.7272,17/01/2018,USD,170.97,4227.61,32975.35,10.77
28958,28958,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,391.54273,17/01/2018,USD,18.24,7141.74,55705.57,18.2
28958,28958,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.74786,17/01/2018,USD,199.6734,6339.2,49445.78,16.15
28958,28958,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.13267,17/01/2018,USD,137.8822,4016.88,31331.64,10.24
28958,28958,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.4105,17/01/2018,USD,152.3,4936.12,38501.73,12.58
28958,28958,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),350.93742,17/01/2018,USD,18.82,6604.64,51516.21,16.83
28958,28958,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88605,17/01/2018,USD,205.6,182.17,1420.94,15.24
28958,28958,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75329,17/01/2018,USD,170.97,128.79,1004.56,10.77
28958,28958,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.92806,17/01/2018,USD,18.24,217.57,1697.03,18.2
28958,28958,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96717,17/01/2018,USD,199.6734,193.12,1506.32,16.15
28958,28958,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.8875,17/01/2018,USD,137.8822,122.37,954.49,10.24
28958,28958,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98736,17/01/2018,USD,152.3,150.37,1172.92,12.58
28958,28958,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69103,17/01/2018,USD,18.82,201.21,1569.4,16.83
30256,30256,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,28.91695,17/01/2018,USD,205.6,5945.32,46373.53,15.24
30256,30256,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.58439,17/01/2018,USD,170.97,4203.19,32784.91,10.77
30256,30256,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,389.28088,17/01/2018,USD,18.24,7100.48,55383.77,18.2
30256,30256,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.56445,17/01/2018,USD,199.6734,6302.58,49160.13,16.15
30256,30256,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,28.9644,17/01/2018,USD,137.8822,3993.68,31150.67,10.24
30256,30256,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.22325,17/01/2018,USD,152.3,4907.6,38279.29,12.58
30256,30256,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),348.90996,17/01/2018,USD,18.82,6566.49,51218.59,16.83
30256,30256,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.3231,17/01/2018,USD,205.6,2533.63,19762.31,15.24
30256,30256,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,10.47673,17/01/2018,USD,170.97,1791.21,13971.41,10.77
30256,30256,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,165.89413,17/01/2018,USD,18.24,3025.91,23602.09,18.2
30256,30256,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,13.45126,17/01/2018,USD,199.6734,2685.86,20949.7,16.15
30256,30256,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,12.34346,17/01/2018,USD,137.8822,1701.94,13275.16,10.24
30256,30256,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),13.73229,17/01/2018,USD,152.3,2091.43,16313.14,12.58
30256,30256,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),148.68812,17/01/2018,USD,18.82,2798.31,21826.82,16.83
30256,30256,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88623,17/01/2018,USD,205.6,182.21,1421.23,15.24
30256,30256,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75345,17/01/2018,USD,170.97,128.82,1004.78,10.77
