Policy Number,Contract No.,Coverage No.,Account Type,Fund Code,Fund Name,Units Held,Price Date,Fund Ccy,Price,Amount in Fund Ccy,Amount in Contract Ccy,Portfolio Weighting
28958,28958,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.08496,09/01/2018,USD,201.52,5861.2,45717.37,15.12
28958,28958,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.7272,09/01/2018,USD,166.41,4114.85,32095.86,10.62
28958,28958,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,391.54273,09/01/2018,USD,17.97,7036.02,54880.98,18.16
28958,28958,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.74786,09/01/2018,USD,196.1886,6228.57,48582.83,16.07
28958,28958,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.13267,09/01/2018,USD,135.7344,3954.31,30843.58,10.2
28958,28958,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.4105,09/01/2018,USD,152.27,4935.15,38494.15,12.74
28958,28958,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),350.93742,09/01/2018,USD,18.87,6622.19,51653.08,17.09
28958,28958,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88605,09/01/2018,USD,201.52,178.56,1392.74,15.12
28958,28958,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75329,09/01/2018,USD,166.41,125.35,977.77,10.62
28958,28958,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.92806,09/01/2018,USD,17.97,214.35,1671.91,18.16
28958,28958,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96717,09/01/2018,USD,196.1886,189.75,1480.03,16.07
28958,28958,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.8875,09/01/2018,USD,135.7344,120.46,939.62,10.2
28958,28958,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98736,09/01/2018,USD,152.27,150.35,1172.69,12.74
28958,28958,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69103,09/01/2018,USD,18.87,201.74,1573.57,17.09
30256,30256,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,28.91695,09/01/2018,USD,201.52,5827.34,45453.28,15.12
30256,30256,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.58439,09/01/2018,USD,166.41,4091.09,31910.49,10.62
30256,30256,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,389.28088,09/01/2018,USD,17.97,6995.38,54563.94,18.16
30256,30256,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.56445,09/01/2018,USD,196.1886,6192.59,48302.16,16.07
