Policy Number,Contract No.,Coverage No.,Account Type,Fund Code,Fund Name,Units Held,Price Date,Fund Ccy,Price,Amount in Fund Ccy,Amount in Contract Ccy,Portfolio Weighting
28958,28958,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.08496,03/01/2018,USD,198.85,5783.54,45111.65,15.13
28958,28958,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.7272,03/01/2018,USD,163.78,4049.82,31588.6,10.59
28958,28958,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,391.54273,03/01/2018,USD,17.59,6887.24,53720.45,18.02
28958,28958,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.74786,03/01/2018,USD,191.5889,6082.54,47443.79,15.91
28958,28958,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.13267,03/01/2018,USD,132.5607,3861.85,30122.41,10.1
28958,28958,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.4105,03/01/2018,USD,152.23,4933.85,38484.03,12.91
28958,28958,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),350.93742,03/01/2018,USD,18.88,6625.7,51680.45,17.33
28958,28958,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88605,03/01/2018,USD,198.85,176.19,1374.29,15.13
28958,28958,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75329,03/01/2018,USD,163.78,123.37,962.32,10.59
28958,28958,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.92806,03/01/2018,USD,17.59,209.81,1636.55,18.02
28958,28958,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96717,03/01/2018,USD,191.5889,185.3,1445.33,15.91
28958,28958,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.8875,03/01/2018,USD,132.5607,117.65,917.65,10.1
28958,28958,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98736,03/01/2018,USD,152.23,150.31,1172.39,12.91
28958,28958,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69103,03/01/2018,USD,18.88,201.85,1574.4,17.33
30256,30256,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,28.91695,03/01/2018,USD,198.85,5750.14,44851.06,15.13
30256,30256,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.58439,03/01/2018,USD,163.78,4026.43,31406.16,10.59
30256,30256,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,389.28088,03/01/2018,USD,17.59,6847.45,53410.12,18.02
30256,30256,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.56445,03/01/2018,USD,191.5889,6047.4,47169.71,15.91
30256,30256,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,28.9644,03/01/2018,USD,132.5607,3839.54,29948.42,10.1
30256,30256,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.22325,03/01/2018,USD,152.23,4905.35,38261.69,12.91
30256,30256,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),348.90996,03/01/2018,USD,18.88,6587.42,51381.88,17.33
30256,30256,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.3231,03/01/2018,USD,198.85,2450.45,19113.5,15.13
30256,30256,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,10.47673,03/01/2018,USD,163.78,1715.88,13383.85,10.59
30256,30256,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,165.89413,03/01/2018,USD,17.59,2918.08,22761.01,18.02
30256,30256,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,13.45126,03/01/2018,USD,191.5889,2577.11,20101.47,15.91
30256,30256,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,12.34346,03/01/2018,USD,132.5607,1636.26,12762.81,10.1
30256,30256,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),13.73229,03/01/2018,USD,152.23,2090.47,16305.64,12.91
30256,30256,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),148.68812,03/01/2018,USD,18.88,2807.23,21896.41,17.33
30256,30256,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88623,03/01/2018,USD,198.85,176.23,1374.57,15.13
30256,30256,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75345,03/01/2018,USD,163.78,123.4,962.52,10.59
30256,30256,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.93046,03/01/2018,USD,17.59,209.86,1636.88,18.02
30256,30256,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96737,03/01/2018,USD,191.5889,185.34,1445.63,15.91
30256,30256,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.88768,03/01/2018,USD,132.5607,117.67,917.84,10.1
30256,30256,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98756,03/01/2018,USD,152.23,150.34,1172.62,12.91
30256,30256,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69318,03/01/2018,USD,18.88,201.89,1574.72,17.33
30792,30792,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,6.44448,03/01/2018,USD,198.85,1281.48,1281.48,15.13
30792,30792,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,5.4789,03/01/2018,USD,163.78,897.33,897.33,10.59
30792,30792,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,86.75574,03/01/2018,USD,17.59,1526.03,1526.03,18.02
30792,30792,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,7.03449,03/01/2018,USD,191.5889,1347.73,1347.73,15.91
30792,30792,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,6.45504,03/01/2018,USD,132.5607,855.68,855.68,10.1
30792,30792,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),7.18134,03/01/2018,USD,152.23,1093.22,1093.22,12.91
30792,30792,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),77.75851,03/01/2018,USD,18.88,1468.08,1468.08,17.33
