Policy Number,Contract No.,Coverage No.,Account Type,Fund Code,Fund Name,Units Held,Price Date,Fund Ccy,Price,Amount in Fund Ccy,Amount in Contract Ccy,Portfolio Weighting
28958,28958,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.08496,23/01/2018,USD,208.02,6050.25,47191.98,15.23
28958,28958,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.7272,23/01/2018,USD,172.78,4272.37,33324.45,10.75
28958,28958,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,391.54273,23/01/2018,USD,18.69,7317.93,57079.88,18.42
28958,28958,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.74786,23/01/2018,USD,204.0728,6478.87,50535.22,16.3
28958,28958,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.13267,23/01/2018,USD,141.2482,4114.94,32096.51,10.36
28958,28958,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.4105,23/01/2018,USD,152.32,4936.77,38506.79,12.42
28958,28958,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),350.93742,23/01/2018,USD,18.71,6566.04,51215.11,16.52
28958,28958,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88605,23/01/2018,USD,208.02,184.32,1437.67,15.23
28958,28958,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75329,23/01/2018,USD,172.78,130.15,1015.2,10.75
28958,28958,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.92806,23/01/2018,USD,18.69,222.94,1738.9,18.42
28958,28958,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96717,23/01/2018,USD,204.0728,197.37,1539.51,16.3
28958,28958,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.8875,23/01/2018,USD,141.2482,125.36,977.79,10.36
28958,28958,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98736,23/01/2018,USD,152.32,150.39,1173.08,12.42
28958,28958,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69103,23/01/2018,USD,18.71,200.03,1560.23,16.52
30256,30256,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,28.91695,23/01/2018,USD,208.02,6015.3,46919.37,15.23
30256,30256,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.58439,23/01/2018,USD,172.78,4247.69,33131.99,10.75
30256,30256,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,389.28088,23/01/2018,USD,18.69,7275.66,56750.15,18.42
30256,30256,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.56445,23/01/2018,USD,204.0728,6441.45,50243.28,16.3
30256,30256,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,28.9644,23/01/2018,USD,141.2482,4091.17,31911.12,10.36
30256,30256,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.22325,23/01/2018,USD,152.32,4908.25,38284.31,12.42
30256,30256,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),348.90996,23/01/2018,USD,18.71,6528.11,50919.22,16.52
30256,30256,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.3231,23/01/2018,USD,208.02,2563.45,19994.92,15.23
30256,30256,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,10.47673,23/01/2018,USD,172.78,1810.17,14119.32,10.75
30256,30256,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,165.89413,23/01/2018,USD,18.69,3100.56,24184.38,18.42
30256,30256,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,13.45126,23/01/2018,USD,204.0728,2745.04,21411.28,16.3
30256,30256,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,12.34346,23/01/2018,USD,141.2482,1743.49,13599.23,10.36
30256,30256,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),13.73229,23/01/2018,USD,152.32,2091.7,16315.28,12.42
30256,30256,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),148.68812,23/01/2018,USD,18.71,2781.95,21699.25,16.52
30256,30256,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88623,23/01/2018,USD,208.02,184.35,1437.96,15.23
30256,30256,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75345,23/01/2018,USD,172.78,130.18,1015.41,10.75
30256,30256,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.93046,23/01/2018,USD,18.69,222.98,1739.25,18.42
30256,30256,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96737,23/01/2018,USD,204.0728,197.41,1539.83,16.3
30256,30256,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.88768,23/01/2018,USD,141.2482,125.38,977.99,10.36
30256,30256,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98756,23/01/2018,USD,152.32,150.43,1173.32,12.42
30256,30256,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69318,23/01/2018,USD,18.71,200.07,1560.54,16.52
30792,30792,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,6.41226,23/01/2018,USD,208.02,1333.88,1333.88,15.23
30792,30792,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,5.45151,23/01/2018,USD,172.78,941.91,941.91,10.75
30792,30792,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,86.32196,23/01/2018,USD,18.69,1613.36,1613.36,18.42
30792,30792,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,6.99932,23/01/2018,USD,204.0728,1428.37,1428.37,16.3
30792,30792,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,6.42276,23/01/2018,USD,141.2482,907.2,907.2,10.36
30792,30792,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),7.14543,23/01/2018,USD,152.32,1088.39,1088.39,12.42
30792,30792,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),77.36972,23/01/2018,USD,18.71,1447.59,1447.59,16.52
30792,30792,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,1.26212,23/01/2018,USD,208.02,262.55,262.55,15.23
30792,30792,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,1.07302,23/01/2018,USD,172.78,185.4,185.4,10.75
30792,30792,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,16.99057,23/01/2018,USD,18.69,317.55,317.55,18.42
30792,30792,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,1.3775,23/01/2018,USD,204.0728,281.11,281.11,16.3
30792,30792,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,1.26405,23/01/2018,USD,141.2482,178.54,178.54,10.35
30792,30792,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),1.40635,23/01/2018,USD,152.32,214.22,214.22,12.42
30792,30792,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),15.22764,23/01/2018,USD,18.71,284.91,284.91,16.52
30792,30792,2,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,1.35415,23/01/2018,USD,208.02,281.69,281.69,15.22
30792,30792,2,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,1.15129,23/01/2018,USD,172.78,198.92,198.92,10.75
30792,30792,2,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,18.23238,23/01/2018,USD,18.69,340.76,340.76,18.42
30792,30792,2,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,1.47832,23/01/2018,USD,204.0728,301.68,301.68,16.3
30792,30792,2,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,1.35679,23/01/2018,USD,141.2482,191.64,191.64,10.36
30792,30792,2,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),1.50922,23/01/2018,USD,152.32,229.88,229.88,12.42
30792,30792,2,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),16.34091,23/01/2018,USD,18.71,305.74,305.74,16.52
31361,31361,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.18762,23/01/2018,USD,208.02,2535.27,19775.1,15.22
31361,31361,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,10.3961,23/01/2018,USD,172.78,1796.24,14010.66,10.78
31361,31361,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,165.16262,23/01/2018,USD,18.69,3086.89,24077.74,18.53
31361,31361,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,13.30155,23/01/2018,USD,204.0728,2714.48,21172.98,16.3
31361,31361,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,12.20438,23/01/2018,USD,141.2482,1723.85,13446,10.35
31361,31361,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),13.53039,23/01/2018,USD,152.32,2060.95,16075.4,12.37
31361,31361,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),146.41681,23/01/2018,USD,18.71,2739.46,21367.78,16.45
31361,31361,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,8.37236,23/01/2018,USD,208.02,1741.62,13584.62,15.37
31361,31361,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,6.94635,23/01/2018,USD,172.78,1200.19,9361.48,10.59
31361,31361,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,102.99942,23/01/2018,USD,18.69,1925.06,15015.46,16.99
31361,31361,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,8.83996,23/01/2018,USD,204.0728,1804,14071.16,15.92
31361,31361,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,8.31581,23/01/2018,USD,141.2482,1174.59,9161.83,10.37
31361,31361,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),9.85218,23/01/2018,USD,152.32,1500.68,11705.34,13.24
31361,31361,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),106.13705,23/01/2018,USD,18.71,1985.82,15489.43,17.52
31362,31362,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.77698,23/01/2018,USD,208.02,6194.21,48314.82,15.22
31362,31362,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,25.4001,23/01/2018,USD,172.78,4388.63,34231.31,10.78
31362,31362,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,403.5287,23/01/2018,USD,18.69,7541.95,58827.22,18.53
31362,31362,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,32.49865,23/01/2018,USD,204.0728,6632.09,51730.31,16.3
31362,31362,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.81822,23/01/2018,USD,141.2482,4211.77,32851.81,10.35
31362,31362,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),33.05773,23/01/2018,USD,152.32,5035.35,39275.76,12.37
31362,31362,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),357.72932,23/01/2018,USD,18.71,6693.12,52206.3,16.45
31362,31362,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.843,23/01/2018,USD,208.02,175.36,1367.81,15.23
31362,31362,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.71672,23/01/2018,USD,172.78,123.83,965.91,10.75
31362,31362,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.34852,23/01/2018,USD,18.69,212.1,1654.41,18.42
31362,31362,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.92018,23/01/2018,USD,204.0728,187.78,1464.71,16.3
31362,31362,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.84441,23/01/2018,USD,141.2482,119.27,930.32,10.36
31362,31362,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.93939,23/01/2018,USD,152.32,143.09,1116.09,12.42
31362,31362,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.17195,23/01/2018,USD,18.71,190.32,1484.47,16.52
33435,33435,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,2.5949,23/01/2018,USD,208.02,539.79,4210.37,15.22
33435,33435,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,2.21346,23/01/2018,USD,172.78,382.44,2983.04,10.78
33435,33435,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,35.16532,23/01/2018,USD,18.69,657.24,5126.47,18.53
33435,33435,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,2.83209,23/01/2018,USD,204.0728,577.95,4508.03,16.3
33435,33435,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,2.59846,23/01/2018,USD,141.2482,367.03,2862.82,10.35
