Policy Number,Contract No.,Coverage No.,Account Type,Fund Code,Fund Name,Units Held,Price Date,Fund Ccy,Price,Amount in Fund Ccy,Amount in Contract Ccy,Portfolio Weighting
28958,28958,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.08496,11/01/2018,USD,202.65,5894.07,45973.72,15.18
28958,28958,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.7272,11/01/2018,USD,168.17,4158.37,32435.31,10.71
28958,28958,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,391.54273,11/01/2018,USD,17.99,7043.85,54942.06,18.14
28958,28958,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.74786,11/01/2018,USD,196.3347,6233.21,48619.01,16.05
28958,28958,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.13267,11/01/2018,USD,135.9539,3960.7,30893.46,10.2
28958,28958,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.4105,11/01/2018,USD,152.27,4935.15,38494.15,12.71
28958,28958,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),350.93742,11/01/2018,USD,18.82,6604.64,51516.21,17.01
28958,28958,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88605,11/01/2018,USD,202.65,179.56,1400.55,15.18
28958,28958,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75329,11/01/2018,USD,168.17,126.68,988.11,10.71
28958,28958,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.92806,11/01/2018,USD,17.99,214.59,1673.77,18.14
28958,28958,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96717,11/01/2018,USD,196.3347,189.89,1481.13,16.05
28958,28958,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.8875,11/01/2018,USD,135.9539,120.66,941.14,10.2
28958,28958,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98736,11/01/2018,USD,152.27,150.35,1172.69,12.71
28958,28958,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69103,11/01/2018,USD,18.82,201.21,1569.4,17.01
30256,30256,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,28.91695,11/01/2018,USD,202.65,5860.02,45708.16,15.18
30256,30256,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.58439,11/01/2018,USD,168.17,4134.36,32247.98,10.71
30256,30256,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,389.28088,11/01/2018,USD,17.99,7003.16,54624.67,18.14
30256,30256,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.56445,11/01/2018,USD,196.3347,6197.2,48338.14,16.05
30256,30256,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,28.9644,11/01/2018,USD,135.9539,3937.82,30715.02,10.2
30256,30256,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.22325,11/01/2018,USD,152.27,4906.63,38271.75,12.71
30256,30256,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),348.90996,11/01/2018,USD,18.82,6566.49,51218.59,17.01
30256,30256,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.3231,11/01/2018,USD,202.65,2497.28,19478.75,15.18
30256,30256,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,10.47673,11/01/2018,USD,168.17,1761.87,13742.6,10.71
30256,30256,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,165.89413,11/01/2018,USD,17.99,2984.44,23278.6,18.14
30256,30256,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,13.45126,11/01/2018,USD,196.3347,2640.95,20599.4,16.05
30256,30256,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,12.34346,11/01/2018,USD,135.9539,1678.14,13089.5,10.2
30256,30256,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),13.73229,11/01/2018,USD,152.27,2091.02,16309.92,12.71
30256,30256,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),148.68812,11/01/2018,USD,18.82,2798.31,21826.82,17.01
30256,30256,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88623,11/01/2018,USD,202.65,179.59,1400.84,15.18
30256,30256,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75345,11/01/2018,USD,168.17,126.71,988.32,10.71
30256,30256,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.93046,11/01/2018,USD,17.99,214.63,1674.11,18.14
30256,30256,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96737,11/01/2018,USD,196.3347,189.93,1481.44,16.05
30256,30256,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.88768,11/01/2018,USD,135.9539,120.68,941.33,10.2
30256,30256,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98756,11/01/2018,USD,152.27,150.38,1172.93,12.71
