Policy Number,Contract No.,Coverage No.,Account Type,Fund Code,Fund Name,Units Held,Price Date,Fund Ccy,Price,Amount in Fund Ccy,Amount in Contract Ccy,Portfolio Weighting
28958,28958,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,28.93954,26/01/2018,USD,210.95,6104.8,47617.41,15.35
28958,28958,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.60356,26/01/2018,USD,174.71,4298.49,33528.21,10.81
28958,28958,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,389.58502,26/01/2018,USD,18.87,7351.47,57341.46,18.49
28958,28958,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.58912,26/01/2018,USD,204.0865,6446.91,50285.92,16.21
28958,28958,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,28.98701,26/01/2018,USD,141.4157,4099.22,31973.9,10.31
28958,28958,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.24845,26/01/2018,USD,152.34,4912.73,38319.29,12.35
28958,28958,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),349.18273,26/01/2018,USD,18.76,6550.67,51095.21,16.47
28958,28958,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88605,26/01/2018,USD,210.95,186.91,1457.92,15.35
28958,28958,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75329,26/01/2018,USD,174.71,131.61,1026.54,10.81
28958,28958,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.92806,26/01/2018,USD,18.87,225.08,1755.64,18.49
28958,28958,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96717,26/01/2018,USD,204.0865,197.39,1539.61,16.21
28958,28958,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.8875,26/01/2018,USD,141.4157,125.51,978.95,10.31
28958,28958,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98736,26/01/2018,USD,152.34,150.41,1173.23,12.35
28958,28958,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69103,26/01/2018,USD,18.76,200.56,1564.4,16.47
30256,30256,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,28.77237,26/01/2018,USD,210.95,6069.53,47342.35,15.35
30256,30256,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.46147,26/01/2018,USD,174.71,4273.66,33334.57,10.81
30256,30256,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,387.33448,26/01/2018,USD,18.87,7309,57010.21,18.49
30256,30256,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.40663,26/01/2018,USD,204.0865,6409.67,49995.42,16.21
30256,30256,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,28.81958,26/01/2018,USD,141.4157,4075.54,31789.22,10.31
30256,30256,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.06213,26/01/2018,USD,152.34,4884.34,38097.89,12.35
30256,30256,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),347.16541,26/01/2018,USD,18.76,6512.82,50800.02,16.47
30256,30256,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.29433,26/01/2018,USD,210.95,2593.49,20229.21,15.35
30256,30256,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,10.45229,26/01/2018,USD,174.71,1826.12,14243.73,10.81
30256,30256,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,165.50727,26/01/2018,USD,18.87,3123.12,24360.35,18.49
30256,30256,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,13.4199,26/01/2018,USD,204.0865,2738.82,21362.8,16.21
30256,30256,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,12.31468,26/01/2018,USD,141.4157,1741.49,13583.61,10.31
30256,30256,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),13.70026,26/01/2018,USD,152.34,2087.1,16279.36,12.35
30256,30256,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),148.34111,26/01/2018,USD,18.76,2782.88,21706.46,16.47
30256,30256,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88623,26/01/2018,USD,210.95,186.95,1458.21,15.35
30256,30256,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75345,26/01/2018,USD,174.71,131.64,1026.75,10.81
30256,30256,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.93046,26/01/2018,USD,18.87,225.13,1756,18.49
30256,30256,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96737,26/01/2018,USD,204.0865,197.43,1539.93,16.21
30256,30256,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.88768,26/01/2018,USD,141.4157,125.53,979.15,10.31
30256,30256,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98756,26/01/2018,USD,152.34,150.44,1173.47,12.35
30256,30256,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69318,26/01/2018,USD,18.76,200.6,1564.71,16.47
30792,30792,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,6.41226,26/01/2018,USD,210.95,1352.67,1352.67,15.35
30792,30792,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,5.45151,26/01/2018,USD,174.71,952.43,952.43,10.81
30792,30792,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,86.32196,26/01/2018,USD,18.87,1628.9,1628.9,18.49
30792,30792,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,6.99932,26/01/2018,USD,204.0865,1428.47,1428.47,16.21
30792,30792,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,6.42276,26/01/2018,USD,141.4157,908.28,908.28,10.31
30792,30792,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),7.14543,26/01/2018,USD,152.34,1088.53,1088.53,12.35
30792,30792,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),77.36972,26/01/2018,USD,18.76,1451.46,1451.46,16.47
30792,30792,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,1.26212,26/01/2018,USD,210.95,266.24,266.24,15.35
30792,30792,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,1.07302,26/01/2018,USD,174.71,187.47,187.47,10.81
30792,30792,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,16.99057,26/01/2018,USD,18.87,320.61,320.61,18.49
30792,30792,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,1.3775,26/01/2018,USD,204.0865,281.13,281.13,16.21
30792,30792,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,1.26405,26/01/2018,USD,141.4157,178.76,178.76,10.31
30792,30792,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),1.40635,26/01/2018,USD,152.34,214.24,214.24,12.35
30792,30792,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),15.22764,26/01/2018,USD,18.76,285.67,285.67,16.47
30792,30792,2,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,1.35415,26/01/2018,USD,210.95,285.66,285.66,15.35
30792,30792,2,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,1.15129,26/01/2018,USD,174.71,201.14,201.14,10.81
30792,30792,2,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,18.23238,26/01/2018,USD,18.87,344.05,344.05,18.49
30792,30792,2,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,1.47832,26/01/2018,USD,204.0865,301.71,301.71,16.21
30792,30792,2,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,1.35679,26/01/2018,USD,141.4157,191.87,191.87,10.31
30792,30792,2,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),1.50922,26/01/2018,USD,152.34,229.91,229.91,12.35
30792,30792,2,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),16.34091,26/01/2018,USD,18.76,306.56,306.56,16.47
31361,31361,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.18762,26/01/2018,USD,210.95,2570.98,20053.63,15.35
31361,31361,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,10.3961,26/01/2018,USD,174.71,1816.3,14167.16,10.84
31361,31361,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,165.16262,26/01/2018,USD,18.87,3116.62,24309.63,18.6
31361,31361,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,13.30155,26/01/2018,USD,204.0865,2714.67,21174.4,16.2
31361,31361,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,12.20438,26/01/2018,USD,141.4157,1725.89,13461.95,10.3
31361,31361,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),13.53039,26/01/2018,USD,152.34,2061.22,16077.51,12.3
31361,31361,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),146.41681,26/01/2018,USD,18.76,2746.78,21424.88,16.4
31361,31361,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,8.37236,26/01/2018,USD,210.95,1766.15,13775.96,15.5
31361,31361,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,6.94635,26/01/2018,USD,174.71,1213.6,9466.06,10.65
31361,31361,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,102.99942,26/01/2018,USD,18.87,1943.6,15160.07,17.06
