PolicyNum,PTVPlanDesc,Status,Commencementdate,IssueDate,BasisType,PlanCurrency,PolicyFee,ApplicationDate,InitialPayDateReg,InitialPayDateSng,CurrentRegularPrem,RegularPremiumFreq,NextRenewalDate,LastPremPaidDate,PolicyTerm,PremiumsPaidTotal,SinglPremiumsTotal,UnsettledPremiums,PremOSTotal,Currentfundholding,CurrentSurrenderval,PremHolOption
8118254,Pacific,In force,42374,42587,SL,HKD,720,24/04/2016,42587,0,6000,Monthly,43102,42897,68,114000,0,6000,0,132047.76,0,N
8118786,Pacific,In force,42736,27/12/2016,SL,HKD,720,17/12/2016,27/12/2016,0,72000,Annual,43466,23/12/2016,64,72000,0,0,0,82291.53,0,N
8119766,Pacific,In force,42736,29/12/2016,SL,HKD,720,21/12/2016,29/12/2016,0,72000,Annual,43466,29/12/2016,64,72000,0,0,0,82116.62,0,N
8121807,Pacific,In force,42736,42856,SL,USD,90,29/12/2016,42856,0,24000,Annual,43466,42826,64,24000,0,0,0,35464.77,0,N
8124547,Pacific,In force,42736,43009,SL,USD,90,31/12/2016,43009,0,9000,Annual,43466,42979,66,9000,0,0,0,10235.46,0,N
8124565,Pacific,In force,42737,18/01/2017,SL,USD,90,31/12/2016,18/01/2017,0,24000,Annual,43102,17/01/2017,68,24000,0,0,0,35536.94,0,N
8124581,Pacific,In force,42738,28/02/2017,SL,USD,90,30/12/2016,28/02/2017,0,12000,Annual,43103,28/02/2017,67,12000,0,0,0,15299.35,0,N
8124735,Pacific,In force,42736,43070,SL,USD,90,42795,43070,0,12000,Annual,43466,43040,57,12000,0,0,0,15460.91,0,N
8127024,Pacific,In force,42374,42648,SL,HKD,720,26/04/2016,42648,0,8000,Monthly,43102,42897,66,152000,0,8000,0,188177.3,0,N
8128241,Pacific,In force,42374,15/05/2016,SL,HKD,720,42587,15/05/2016,0,6000,Monthly,43102,43019,70,114000,0,6000,0,132133.72,0,N
8129502,Pacific,In force,42737,17/01/2017,SL,USD,90,43009,17/01/2017,0,9000,Annual,43102,16/01/2017,79,9000,0,0,0,10214.53,0,N
8129502,Pacific,In force,42737,17/01/2017,SL,USD,90,43009,17/01/2017,0,9000,Annual,43102,16/01/2017,79,9000,0,0,0,10214.53,0,N
8137151,Pacific,In force,42375,42527,SL,HKD,720,42648,42527,0,4000,Monthly,43102,27/11/2017,71,76000,0,0,0,78198.86,0,N
8137552,Vista,In force,40186,16/08/2010,SL,HKD,720,23/07/2010,16/08/2010,0,4000,Monthly,43102,42897,25,605000,0,4000,0,831724.27,0,N
8144050,Pacific,In force,42376,42650,SL,HKD,720,21/05/2016,42650,0,4000,Monthly,43102,42897,58,68000,0,4000,0,69255.88,0,N
8148935,Pacific,In force,42375,15/06/2016,SL,HKD,720,31/05/2016,15/06/2016,0,4024.16,Monthly,43102,27/11/2017,60,76459.12,0,0,0,79369.23,0,N
8155982,Pacific,In force,42376,19/06/2016,SL,HKD,720,42649,19/06/2016,0,4000,Monthly,43102,16/11/2017,71,68000,0,4000,0,70712.16,0,N
8161777,Pacific,In force,42377,20/07/2016,SL,HKD,720,23/06/2016,20/07/2016,0,4000,Monthly,43102,24/10/2017,66,64000,0,4000,0,64990.58,0,N
8161974,Pacific,In force,42376,42650,SL,USD,90,24/06/2016,42650,0,24000,Annual,43107,22/06/2017,66,48000,0,0,0,63270.57,0,N
8165955,Vista,Premium ceased,40188,40278,SL,HKD,720,14/09/2010,40278,0,3000,Monthly,42011,26/01/2015,20,289000,0,0,0,354838.31,0,N
8178228,Vista,In force,41651,24/11/2014,SL,HKD,720,41984,24/11/2014,0,14400,6 Monthly,43106,42892,25,268800,0,14400,0,418470.86,0,N
8178236,Vista,In force,41651,18/11/2014,SL,HKD,720,41984,17/11/2014,0,28800,Annual,43112,30/12/2016,25,163200,0,28800,0,206020.91,0,N
8178597,Vista,Premium ceased,41651,20/11/2014,SL,HKD,720,41893,20/11/2014,0,32500,Monthly,42376,24/05/2016,25,585000,0,0,0,1070481.07,0,N
8191615,Vista,Premium ceased,41651,25/11/2014,SL,HKD,720,16/10/2014,25/11/2014,0,5600,Monthly,42376,25/04/2016,25,100800,0,0,0,169001.86,0,N
8191624,Vista,In force,41651,20/11/2014,SL,HKD,720,41862,20/11/2014,0,5600,Monthly,43102,42897,25,201600,0,5600,0,284649.3,0,N
8198369,Vista,In force,41651,41710,SL,HKD,720,16/11/2014,41710,0,2400,Monthly,43102,42897,25,166400,0,2400,0,238958.33,0,N
8198475,Vista,Premium ceased,42005,28/12/2014,SL,HKD,720,18/11/2014,28/12/2014,0,10000,Monthly,42378,42528,25,190000,0,0,0,340064.61,0,N
8207784,Vista,In force,42005,21/12/2014,SL,HKD,720,25/11/2014,21/12/2014,0,5600,Monthly,43102,42897,25,196000,0,5600,0,264029.29,0,N
8209884,Vista,In force,42005,17/12/2014,SL,HKD,720,26/11/2014,17/12/2014,0,5000,Monthly,43102,42897,25,375000,0,5000,0,615709.37,0,N
8218009,Vista,In force,41651,14/12/2014,SL,HKD,720,41741,14/12/2014,0,390000,Annual,43112,42533,25,1170000,0,390000,0,1726847.43,0,N
8219179,Vista,Premium ceased,41642,27/02/2014,SL,HKD,720,24/02/2014,27/02/2014,0,96000,Annual,42738,29/05/2015,25,192000,0,0,0,246294.14,0,N
8219358,Vista,In force,41651,15/12/2014,SL,HKD,720,41771,15/12/2014,0,5000,Monthly,43102,42897,25,280000,0,5000,0,439575.35,0,N
8219366,Vista,In force,42005,17/12/2014,SL,HKD,720,41771,17/12/2014,0,3000,Monthly,43102,42897,25,285000,0,3000,0,484381.39,0,N
8222219,Vista,In force,42005,23/12/2014,SL,HKD,720,41924,23/12/2014,0,25000,Monthly,43102,42897,25,875000,0,25000,0,1273897.45,0,N
8222227,Vista,In force,42005,16/12/2014,SL,HKD,720,29/11/2014,16/12/2014,0,12500,Monthly,43102,42897,25,437500,0,12500,0,648579.17,0,N
8222278,Vista,Premium ceased,42005,28/12/2014,SL,HKD,720,41924,28/12/2014,0,5600,Monthly,42377,24/05/2016,25,100800,0,0,0,165667.31,0,N
8222881,Vista,Premium ceased,41642,41732,SL,HKD,720,28/02/2014,41732,0,2400,Monthly,42736,24/10/2016,25,79200,0,0,0,83270.88,0,N
8224174,Vista,In force,42005,42095,SL,USD,90,41955,42095,0,24600,6 Monthly,43107,30/06/2017,25,147599.98,0,0,0,218031.05,0,N
8224192,Vista,In force,42005,19/01/2015,SL,USD,90,41955,19/01/2015,0,24800,6 Monthly,43107,25/07/2017,25,148799.98,0,0,0,218409.43,0,N
