PolicyNum,PTVPlanDesc,Status,Commencementdate,IssueDate,BasisType,PlanCurrency,PolicyFee,ApplicationDate,InitialPayDateReg,InitialPayDateSng,CurrentRegularPrem,RegularPremiumFreq,NextRenewalDate,LastPremPaidDate,PolicyTerm,PremiumsPaidTotal,SinglPremiumsTotal,UnsettledPremiums,PremOSTotal,Currentfundholding,CurrentSurrenderval,PremHolOption
8282328,Pacific,In force,42016,29/11/2015,SL,HKD,720,20/11/2015,29/11/2015,0,120000,Annual,43112,42979,67,240000,0,120000,0,295254.15,0,N
8282865,Vista,In force,41644,15/05/2014,SL,HKD,720,41825,15/05/2014,0,67200,Annual,43105,42983,25,268800,0,0,0,360622.04,0,N
8283004,Vista,Premium ceased,41644,41948,SL,HKD,720,26/04/2014,41948,0,10000,Monthly,42373,42135,25,190000,0,0,0,286655.55,0,N
8286030,Vista,In force,41645,20/05/2014,JLFD,HKD,720,41917,20/05/2014,0,2400,Monthly,43102,42897,25,161600,0,2400,0,245787.58,0,N
8286030,Vista,In force,41645,20/05/2014,JLFD,HKD,720,41917,20/05/2014,0,2400,Monthly,43102,42897,25,161600,0,2400,0,245787.58,0,N
8286173,Pacific,In force,42378,18/08/2016,SL,USD,90,42529,18/08/2016,0,12000,Annual,43109,22/11/2017,62,187200.09,0,0,0,27329.53,0,N
8287338,Pacific,In force,42016,13/12/2015,SL,HKD,720,28/11/2015,13/12/2015,0,6000,Monthly,43102,42988,67,138000,0,12000,0,158931.4,0,N
8288507,Pacific,In force,42738,19/02/2017,SL,HKD,720,13/01/2017,19/02/2017,0,48000,Annual,43103,16/02/2017,59,48000,0,0,0,46768.87,0,N
8292356,Vista,In force,41645,26/05/2014,SL,HKD,720,18/05/2014,26/05/2014,0,5600,Monthly,43102,43019,25,235200,0,5600,0,328475.18,0,N
8292766,Pacific,In force,42016,13/12/2015,SL,USD,90,42136,13/12/2015,0,3000,Monthly,43102,42897,66,72000,0,3000,0,107490.53,0,N
8292784,Pacific,In force,42016,14/12/2015,SL,HKD,720,42136,14/12/2015,0,6000,Monthly,43102,42897,63,144000,0,6000,0,159404.88,0,N
8292814,Pacific,In force,42016,42289,SL,HKD,720,42197,42289,0,75000,Annual,43112,15/12/2016,64,150000,0,75000,0,172105.37,0,N
8293940,Vista,In force,41645,41735,SL,HKD,720,26/05/2014,41735,0,8000,Monthly,43102,42897,25,361200,0,8000,0,567474.93,0,N
8294308,Vista,In force,41645,30/05/2014,SL,HKD,720,26/05/2014,30/05/2014,0,10000,Monthly,43102,43019,25,620000,0,10000,0,930154.64,0,N
8295277,Pacific,In force,42378,23/08/2016,SL,USD,90,15/08/2016,23/08/2016,0,36000,Annual,43109,42895,75,71999.98,0,0,0,99611.9,0,N
8295304,Pacific,In force,42378,23/08/2016,SL,HKD,720,15/08/2016,23/08/2016,0,4000,Monthly,43102,42897,76,60000,0,4000,0,60785.92,0,N
8295316,Pacific,In force,42378,29/08/2016,SL,HKD,720,15/08/2016,29/08/2016,0,4000,Monthly,43102,42897,76,60000,0,4000,0,61155.99,0,N
8295334,Pacific,Surrendered,42378,24/08/2016,SL,HKD,720,15/08/2016,24/08/2016,0,0,Single Premium,0,42833,76,48000,0,0,0,0,0,N
8297774,Vista,In force,41645,41857,SL,HKD,720,29/05/2014,41857,0,2400,Monthly,43102,42897,25,405600,0,2400,0,675209.67,0,N
8298048,Pacific,In force,42737,42980,SL,HKD,720,25/01/2017,42980,0,72000,Annual,43102,42949,66,72000,0,0,0,81201.79,0,N
8299019,Pacific,In force,42378,24/08/2016,SL,HKD,720,18/08/2016,24/08/2016,0,4000,Monthly,43102,27/11/2017,72,64000,0,0,0,65112.32,0,N
