Policy Number,Contract No.,Coverage No.,Account Type,Fund Code,Fund Name,Units Held,Price Date,Fund Ccy,Price,Amount in Fund Ccy,Amount in Contract Ccy,Portfolio Weighting
28958,28958,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.08496,28/12/2017,USD,197.44,5742.53,44791.77,15.14
28958,28958,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.7272,28/12/2017,USD,161.51,3993.69,31150.78,10.53
28958,28958,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,391.54273,28/12/2017,USD,17.25,6754.11,52682.07,17.81
28958,28958,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.74786,28/12/2017,USD,190.1477,6036.78,47086.9,15.91
28958,28958,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.13267,28/12/2017,USD,132.0599,3847.26,30008.61,10.14
28958,28958,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.4105,28/12/2017,USD,152.2,4932.88,38476.45,13
28958,28958,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),350.93742,28/12/2017,USD,18.88,6625.7,51680.45,17.47
28958,28958,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88605,28/12/2017,USD,197.44,174.94,1364.55,15.14
28958,28958,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75329,28/12/2017,USD,161.51,121.66,948.98,10.53
28958,28958,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.92806,28/12/2017,USD,17.25,205.76,1604.92,17.81
28958,28958,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96717,28/12/2017,USD,190.1477,183.91,1434.46,15.91
28958,28958,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.8875,28/12/2017,USD,132.0599,117.2,914.18,10.14
28958,28958,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98736,28/12/2017,USD,152.2,150.28,1172.15,13
28958,28958,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69103,28/12/2017,USD,18.88,201.85,1574.4,17.47
30256,30256,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,28.91695,28/12/2017,USD,197.44,5709.36,44533.03,15.14
30256,30256,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.58439,28/12/2017,USD,161.51,3970.62,30970.87,10.53
30256,30256,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,389.28088,28/12/2017,USD,17.25,6715.1,52377.74,17.81
30256,30256,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.56445,28/12/2017,USD,190.1477,6001.91,46814.88,15.91
30256,30256,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,28.9644,28/12/2017,USD,132.0599,3825.04,29835.28,10.14
30256,30256,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.22325,28/12/2017,USD,152.2,4904.38,38254.15,13
30256,30256,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),348.90996,28/12/2017,USD,18.88,6587.42,51381.88,17.47
30256,30256,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.3231,28/12/2017,USD,197.44,2433.07,18977.97,15.14
30256,30256,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,10.47673,28/12/2017,USD,161.51,1692.1,13198.35,10.53
30256,30256,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,165.89413,28/12/2017,USD,17.25,2861.67,22321.06,17.81
30256,30256,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,13.45126,28/12/2017,USD,190.1477,2557.73,19950.26,15.91
30256,30256,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,12.34346,28/12/2017,USD,132.0599,1630.08,12714.59,10.14
30256,30256,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),13.73229,28/12/2017,USD,152.2,2090.05,16302.43,13
30256,30256,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),148.68812,28/12/2017,USD,18.88,2807.23,21896.41,17.47
30256,30256,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88623,28/12/2017,USD,197.44,174.98,1364.82,15.14
30256,30256,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75345,28/12/2017,USD,161.51,121.69,949.18,10.53
30256,30256,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.93046,28/12/2017,USD,17.25,205.8,1605.24,17.81
30256,30256,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96737,28/12/2017,USD,190.1477,183.94,1434.76,15.91
30256,30256,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.88768,28/12/2017,USD,132.0599,117.23,914.37,10.14
30256,30256,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98756,28/12/2017,USD,152.2,150.31,1172.39,13
30256,30256,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69318,28/12/2017,USD,18.88,201.89,1574.72,17.47
30792,30792,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,6.44448,28/12/2017,USD,197.44,1272.4,1272.4,15.14
30792,30792,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,5.4789,28/12/2017,USD,161.51,884.9,884.9,10.53
30792,30792,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,86.75574,28/12/2017,USD,17.25,1496.54,1496.54,17.81
30792,30792,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,7.03449,28/12/2017,USD,190.1477,1337.59,1337.59,15.91
30792,30792,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,6.45504,28/12/2017,USD,132.0599,852.45,852.45,10.14
30792,30792,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),7.18134,28/12/2017,USD,152.2,1093,1093,13
30792,30792,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),77.75851,28/12/2017,USD,18.88,1468.08,1468.08,17.47
30792,30792,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,1.26837,28/12/2017,USD,197.44,250.43,250.43,15.14
30792,30792,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,1.07838,28/12/2017,USD,161.51,174.17,174.17,10.53
30792,30792,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,17.07544,28/12/2017,USD,17.25,294.55,294.55,17.81
30792,30792,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,1.38435,28/12/2017,USD,190.1477,263.23,263.23,15.91
30792,30792,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,1.27037,28/12/2017,USD,132.0599,167.76,167.76,10.14
30792,30792,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),1.41338,28/12/2017,USD,152.2,215.12,215.12,13
30792,30792,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),15.30333,28/12/2017,USD,18.88,288.93,288.93,17.47
30792,30792,2,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,1.3618,28/12/2017,USD,197.44,268.87,268.87,15.14
30792,30792,2,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,1.15779,28/12/2017,USD,161.51,186.99,186.99,10.53
30792,30792,2,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,18.33548,28/12/2017,USD,17.25,316.29,316.29,17.81
30792,30792,2,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,1.48665,28/12/2017,USD,190.1477,282.68,282.68,15.91
30792,30792,2,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,1.36448,28/12/2017,USD,132.0599,180.19,180.19,10.14
30792,30792,2,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),1.51774,28/12/2017,USD,152.2,231,231,13
30792,30792,2,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),16.4332,28/12/2017,USD,18.88,310.26,310.26,17.47
31361,31361,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.24886,28/12/2017,USD,197.44,2418.41,18863.64,15.13
31361,31361,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,10.44834,28/12/2017,USD,161.51,1687.51,13162.59,10.56
31361,31361,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,165.99258,28/12/2017,USD,17.25,2863.37,22334.3,17.92
31361,31361,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,13.36839,28/12/2017,USD,190.1477,2541.97,19827.36,15.91
31361,31361,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,12.26571,28/12/2017,USD,132.0599,1619.81,12634.51,10.14
31361,31361,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),13.59838,28/12/2017,USD,152.2,2069.67,16143.45,12.95
31361,31361,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),147.15257,28/12/2017,USD,18.88,2778.24,21670.28,17.39
31361,31361,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,7.92975,28/12/2017,USD,197.44,1565.65,12212.07,15.27
31361,31361,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,6.58981,28/12/2017,USD,161.51,1064.32,8301.7,10.38
31361,31361,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,98.03436,28/12/2017,USD,17.25,1691.09,13190.52,16.5
31361,31361,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,8.38763,28/12/2017,USD,190.1477,1594.89,12440.13,15.56
31361,31361,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,7.87971,28/12/2017,USD,132.0599,1040.59,8116.63,10.15
31361,31361,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),9.26441,28/12/2017,USD,152.2,1410.04,10998.34,13.76
31361,31361,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),99.79604,28/12/2017,USD,18.88,1884.15,14696.36,18.38
31362,31362,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.92661,28/12/2017,USD,197.44,5908.71,46087.94,15.13
31362,31362,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,25.52774,28/12/2017,USD,161.51,4122.99,32159.29,10.56
31362,31362,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,405.55648,28/12/2017,USD,17.25,6995.85,54567.62,17.92
31362,31362,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,32.66196,28/12/2017,USD,190.1477,6210.6,48442.65,15.91
31362,31362,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.96806,28/12/2017,USD,132.0599,3957.58,30869.12,10.14
31362,31362,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),33.22385,28/12/2017,USD,152.2,5056.67,39442.03,12.95
31362,31362,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),359.52695,28/12/2017,USD,18.88,6787.87,52945.38,17.39
31362,31362,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.843,28/12/2017,USD,197.44,166.44,1298.25,15.14
31362,31362,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.71672,28/12/2017,USD,161.51,115.76,902.91,10.53
31362,31362,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.34852,28/12/2017,USD,17.25,195.76,1526.94,17.81
31362,31362,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.92018,28/12/2017,USD,190.1477,174.97,1364.77,15.91
31362,31362,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.84441,28/12/2017,USD,132.0599,111.51,869.8,10.14
31362,31362,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.93939,28/12/2017,USD,152.2,142.98,1115.21,13
31362,31362,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.17195,28/12/2017,USD,18.88,192.05,1497.96,17.47
33435,33435,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,2.60794,28/12/2017,USD,197.44,514.91,4016.31,15.13
33435,33435,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,2.22458,28/12/2017,USD,161.51,359.29,2802.48,10.56
33435,33435,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,35.34203,28/12/2017,USD,17.25,609.65,4755.27,17.92
33435,33435,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,2.84632,28/12/2017,USD,190.1477,541.22,4221.53,15.91
33435,33435,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,2.61152,28/12/2017,USD,132.0599,344.88,2690.04,10.14
33435,33435,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),2.89529,28/12/2017,USD,152.2,440.66,3437.17,12.95
33435,33435,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),31.33096,28/12/2017,USD,18.88,591.53,4613.92,17.39
33435,33435,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.99726,28/12/2017,USD,197.44,196.9,1535.81,15.13
33435,33435,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.85106,28/12/2017,USD,161.51,137.45,1072.15,10.56
33435,33435,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,13.521,28/12/2017,USD,17.25,233.24,1819.25,17.92
33435,33435,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,1.08858,28/12/2017,USD,190.1477,206.99,1614.53,15.91
33435,33435,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.99867,28/12/2017,USD,132.0599,131.88,1028.7,10.14
33435,33435,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),1.10739,28/12/2017,USD,152.2,168.54,1314.65,12.95
33435,33435,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),11.98417,28/12/2017,USD,18.88,226.26,1764.84,17.39
33466,33466,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),12.283,28/12/2017,USD,152.2,1869.47,14581.89,100
34370,34370,1,Initial,01XP,Threadneedle High Yield Bond Fund ,1.0626,28/12/2017,GBP,0.4335,0.46,4.73,0
34370,34370,1,Initial,03RU,Baring Hong Kong China Fund - Class A USD lnc,9.15056,28/12/2017,USD,1231.35,11267.54,87886.83,24.99
34370,34370,1,Initial,10FU,Fidelity Funds - Taiwan Fund - A,894.47005,28/12/2017,USD,13.11,11726.5,91466.72,26.01
34370,34370,1,Initial,18FU,Fidelity Funds - Indonesia Fund - A - USD,348.07517,28/12/2017,USD,29.87,10397.01,81096.64,23.06
34370,34370,1,Initial,24BU,PARVEST Equity Russia - Classic Cap - USD,121.81153,27/12/2017,USD,96.04,11698.78,91250.48,25.95
36523,36523,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,9.69428,28/12/2017,USD,197.44,1914.04,14929.5,15.13
36523,36523,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,8.26931,28/12/2017,USD,161.51,1335.58,10417.49,10.56
36523,36523,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,131.37388,28/12/2017,USD,17.25,2266.2,17676.36,17.92
36523,36523,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,10.58036,28/12/2017,USD,190.1477,2011.83,15692.28,15.91
36523,36523,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,9.70766,28/12/2017,USD,132.0599,1281.99,9999.54,10.14
36523,36523,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),10.76237,28/12/2017,USD,152.2,1638.03,12776.66,12.95
36523,36523,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),116.46336,28/12/2017,USD,18.88,2198.83,17150.86,17.39
36523,36523,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.75639,28/12/2017,USD,197.44,149.34,1164.86,15.14
36523,36523,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.64508,28/12/2017,USD,161.51,104.19,812.66,10.56
36523,36523,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,10.24903,28/12/2017,USD,17.25,176.8,1379.01,17.92
36523,36523,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.82551,28/12/2017,USD,190.1477,156.97,1224.36,15.91
36523,36523,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.75717,28/12/2017,USD,132.0599,99.99,779.94,10.13
36523,36523,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.83991,28/12/2017,USD,152.2,127.83,997.11,12.96
36523,36523,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),9.08324,28/12/2017,USD,18.88,171.49,1337.63,17.38
38849,38849,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,2.1718,28/12/2017,USD,197.44,428.8,3344.64,15.13
38849,38849,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,1.85257,28/12/2017,USD,161.51,299.21,2333.83,10.56
38849,38849,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,29.43141,28/12/2017,USD,17.25,507.69,3960,17.92
38849,38849,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,2.3703,28/12/2017,USD,190.1477,450.71,3515.52,15.91
38849,38849,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,2.17482,28/12/2017,USD,132.0599,287.21,2240.21,10.14
38849,38849,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),2.41106,28/12/2017,USD,152.2,366.96,2862.31,12.95
38849,38849,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),26.09185,28/12/2017,USD,18.88,492.61,3842.39,17.39
38849,38849,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,4.2956,28/12/2017,USD,197.44,848.12,6615.36,15.17
38849,38849,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,3.63347,28/12/2017,USD,161.51,586.84,4577.37,10.5
38849,38849,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,56.53063,28/12/2017,USD,17.25,975.15,7606.2,17.44
38849,38849,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,4.64116,28/12/2017,USD,190.1477,882.51,6883.55,15.78
38849,38849,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,4.29508,28/12/2017,USD,132.0599,567.21,4424.22,10.14
38849,38849,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),4.83312,28/12/2017,USD,152.2,735.6,5737.69,13.16
38849,38849,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),52.73825,28/12/2017,USD,18.88,995.7,7766.45,17.81
38933,38933,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,15.87121,28/12/2017,USD,197.44,3133.61,24442.17,15.14
38933,38933,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,13.49322,28/12/2017,USD,161.51,2179.29,16998.46,10.53
38933,38933,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,213.65882,28/12/2017,USD,17.25,3685.61,28747.79,17.81
38933,38933,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,17.32432,28/12/2017,USD,190.1477,3294.18,25694.6,15.91
38933,38933,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,15.89726,28/12/2017,USD,132.0599,2099.39,16375.25,10.14
38933,38933,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),17.68591,28/12/2017,USD,152.2,2691.8,20996,13
38933,38933,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),191.50059,28/12/2017,USD,18.88,3615.53,28201.14,17.47
38933,38933,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,13.82581,28/12/2017,USD,197.44,2729.77,21292.19,15.14
38933,38933,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,11.754,28/12/2017,USD,161.51,1898.39,14807.43,10.53
38933,38933,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,186.12041,28/12/2017,USD,17.25,3210.58,25042.5,17.81
38933,38933,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,15.09136,28/12/2017,USD,190.1477,2869.59,22382.78,15.91
38933,38933,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,13.84842,28/12/2017,USD,132.0599,1828.82,14264.8,10.14
38933,38933,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),15.40616,28/12/2017,USD,152.2,2344.82,18289.58,13
38933,38933,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),166.81617,28/12/2017,USD,18.88,3149.49,24566.02,17.47
38995,38995,1,Initial,01TU,Franklin Templeton Investment Funds - Franklin U.S. Opportunities Fund - A acc,73.23646,28/12/2017,USD,15.17,1111,8665.78,13.27
