Policy Number,Contract No.,Coverage No.,Account Type,Fund Code,Fund Name,Units Held,Price Date,Fund Ccy,Price,Amount in Fund Ccy,Amount in Contract Ccy,Portfolio Weighting
28958,28958,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.23112,20/12/2017,USD,196.56,5745.67,44816.22,15.11
28958,28958,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.85146,20/12/2017,USD,160.53,3989.4,31117.36,10.49
28958,28958,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,393.51028,20/12/2017,USD,17.28,6799.86,53038.89,17.88
28958,28958,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.9074,20/12/2017,USD,188.8648,6026.18,47004.24,15.85
28958,28958,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.27907,20/12/2017,USD,132.0022,3864.9,30146.23,10.16
28958,28958,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.57337,20/12/2017,USD,152.16,4956.36,38659.64,13.03
28958,28958,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),352.70092,20/12/2017,USD,18.85,6648.41,51857.62,17.48
28958,28958,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88605,20/12/2017,USD,196.56,174.16,1358.46,15.11
28958,28958,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75329,20/12/2017,USD,160.53,120.93,943.22,10.49
28958,28958,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.92806,20/12/2017,USD,17.28,206.12,1607.71,17.88
28958,28958,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96717,20/12/2017,USD,188.8648,182.66,1424.78,15.85
28958,28958,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.8875,20/12/2017,USD,132.0022,117.15,913.79,10.16
28958,28958,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98736,20/12/2017,USD,152.16,150.24,1171.85,13.03
28958,28958,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69103,20/12/2017,USD,18.85,201.53,1571.9,17.48
30256,30256,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.06226,20/12/2017,USD,196.56,5712.48,44557.33,15.11
30256,30256,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.70793,20/12/2017,USD,160.53,3966.36,30937.64,10.49
30256,30256,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,391.23707,20/12/2017,USD,17.28,6760.58,52732.5,17.88
30256,30256,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.72307,20/12/2017,USD,188.8648,5991.37,46732.7,15.85
30256,30256,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.10995,20/12/2017,USD,132.0022,3842.58,29972.1,10.16
30256,30256,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.38518,20/12/2017,USD,152.16,4927.73,38436.29,13.03
30256,30256,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),350.66328,20/12/2017,USD,18.85,6610,51558.02,17.48
30256,30256,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.35193,20/12/2017,USD,196.56,2427.9,18937.58,15.11
30256,30256,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,10.50124,20/12/2017,USD,160.53,1685.76,13148.96,10.49
