Policy Number,Contract No.,Coverage No.,Account Type,Fund Code,Fund Name,Units Held,Price Date,Fund Ccy,Price,Amount in Fund Ccy,Amount in Contract Ccy,Portfolio Weighting
28958,28958,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.23112,14/12/2017,USD,195.28,5708.25,44524.37,15.08
28958,28958,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.85146,14/12/2017,USD,158.83,3947.16,30787.83,10.43
28958,28958,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,393.51028,14/12/2017,USD,17.12,6736.9,52547.79,17.79
28958,28958,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.9074,14/12/2017,USD,187.8276,5993.09,46746.1,15.83
28958,28958,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.27907,14/12/2017,USD,131.2872,3843.97,29982.94,10.15
28958,28958,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.57337,14/12/2017,USD,152.15,4956.04,38657.1,13.09
28958,28958,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),352.70092,14/12/2017,USD,18.92,6673.1,52050.19,17.63
28958,28958,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88605,14/12/2017,USD,195.28,173.03,1349.62,15.08
28958,28958,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75329,14/12/2017,USD,158.83,119.65,933.23,10.43
28958,28958,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.92806,14/12/2017,USD,17.12,204.21,1592.83,17.8
28958,28958,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96717,14/12/2017,USD,187.8276,181.66,1416.96,15.83
28958,28958,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.8875,14/12/2017,USD,131.2872,116.52,908.84,10.15
28958,28958,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98736,14/12/2017,USD,152.15,150.23,1171.77,13.09
28958,28958,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69103,14/12/2017,USD,18.92,202.27,1577.74,17.63
30256,30256,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.06226,14/12/2017,USD,195.28,5675.28,44267.17,15.08
30256,30256,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.70793,14/12/2017,USD,158.83,3924.36,30610.01,10.43
30256,30256,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,391.23707,14/12/2017,USD,17.12,6697.98,52244.23,17.79
30256,30256,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.72307,14/12/2017,USD,187.8276,5958.47,46476.05,15.83
30256,30256,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.10995,14/12/2017,USD,131.2872,3821.76,29809.76,10.15
30256,30256,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.38518,14/12/2017,USD,152.15,4927.41,38433.76,13.09
30256,30256,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),350.66328,14/12/2017,USD,18.92,6634.55,51749.48,17.63
30256,30256,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.35193,14/12/2017,USD,195.28,2412.08,18814.26,15.08
30256,30256,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,10.50124,14/12/2017,USD,158.83,1667.91,13009.71,10.43
30256,30256,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,166.28205,14/12/2017,USD,17.12,2846.75,22204.64,17.79
30256,30256,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,13.48274,14/12/2017,USD,187.8276,2532.43,19752.96,15.83
30256,30256,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,12.3723,14/12/2017,USD,131.2872,1624.32,12669.73,10.15
30256,30256,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),13.76443,14/12/2017,USD,152.15,2094.26,16335.21,13.09
30256,30256,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),149.03597,14/12/2017,USD,18.92,2819.76,21994.13,17.63
30256,30256,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88623,14/12/2017,USD,195.28,173.06,1349.89,15.08
