Policy Number,Contract No.,Coverage No.,Account Type,Fund Code,Fund Name,Units Held,Price Date,Fund Ccy,Price,Amount in Fund Ccy,Amount in Contract Ccy,Portfolio Weighting
28958,28958,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.23112,06/12/2017,USD,193.79,5664.7,44184.65,15.1
28958,28958,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.85146,06/12/2017,USD,156.81,3896.96,30396.27,10.39
28958,28958,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,393.51028,06/12/2017,USD,16.81,6614.91,51596.28,17.63
28958,28958,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.9074,06/12/2017,USD,185.9586,5933.46,46280.95,15.82
28958,28958,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.27907,06/12/2017,USD,129.2771,3785.11,29523.88,10.09
28958,28958,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.57337,06/12/2017,USD,152.13,4955.39,38652.02,13.21
28958,28958,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),352.70092,06/12/2017,USD,18.89,6662.52,51967.66,17.76
28958,28958,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88605,06/12/2017,USD,193.79,171.71,1339.32,15.1
28958,28958,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75329,06/12/2017,USD,156.81,118.12,921.36,10.39
28958,28958,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.92806,06/12/2017,USD,16.81,200.51,1563.98,17.63
28958,28958,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96717,06/12/2017,USD,185.9586,179.85,1402.86,15.82
28958,28958,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.8875,06/12/2017,USD,129.2771,114.73,894.92,10.09
28958,28958,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98736,06/12/2017,USD,152.13,150.21,1171.62,13.21
28958,28958,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69103,06/12/2017,USD,18.89,201.95,1575.24,17.76
30256,30256,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.06226,06/12/2017,USD,193.79,5631.98,43929.41,15.1
30256,30256,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.70793,06/12/2017,USD,156.81,3874.45,30220.71,10.39
30256,30256,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,391.23707,06/12/2017,USD,16.81,6576.7,51298.22,17.63
30256,30256,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.72307,06/12/2017,USD,185.9586,5899.18,46013.59,15.82
30256,30256,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.10995,06/12/2017,USD,129.2771,3763.25,29353.35,10.09
30256,30256,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.38518,06/12/2017,USD,152.13,4926.76,38428.71,13.21
30256,30256,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),350.66328,06/12/2017,USD,18.89,6624.03,51667.43,17.76
30256,30256,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.35193,06/12/2017,USD,193.79,2393.68,18670.71,15.1
30256,30256,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,10.50124,06/12/2017,USD,156.81,1646.7,12844.26,10.39
30256,30256,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,166.28205,06/12/2017,USD,16.81,2795.2,21802.57,17.63
30256,30256,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,13.48274,06/12/2017,USD,185.9586,2507.23,19556.41,15.82
30256,30256,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,12.3723,06/12/2017,USD,129.2771,1599.46,12475.75,10.09
30256,30256,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),13.76443,06/12/2017,USD,152.13,2093.98,16333.07,13.21
30256,30256,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),149.03597,06/12/2017,USD,18.89,2815.29,21959.26,17.76
30256,30256,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88623,06/12/2017,USD,193.79,171.74,1339.59,15.1
30256,30256,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75345,06/12/2017,USD,156.81,118.15,921.56,10.39
30256,30256,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.93046,06/12/2017,USD,16.81,200.55,1564.3,17.63
30256,30256,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96737,06/12/2017,USD,185.9586,179.89,1403.15,15.82
30256,30256,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.88768,06/12/2017,USD,129.2771,114.76,895.1,10.09
30256,30256,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98756,06/12/2017,USD,152.13,150.24,1171.85,13.21
30256,30256,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69318,06/12/2017,USD,18.89,201.99,1575.55,17.76
30792,30792,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,6.47686,06/12/2017,USD,193.79,1255.15,1255.15,15.1
30792,30792,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,5.50643,06/12/2017,USD,156.81,863.46,863.46,10.39
30792,30792,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,87.1917,06/12/2017,USD,16.81,1465.69,1465.69,17.63
30792,30792,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,7.06984,06/12/2017,USD,185.9586,1314.7,1314.7,15.82
30792,30792,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,6.48748,06/12/2017,USD,129.2771,838.68,838.68,10.09
30792,30792,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),7.21743,06/12/2017,USD,152.13,1097.99,1097.99,13.21
30792,30792,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),78.14926,06/12/2017,USD,18.89,1476.24,1476.24,17.76
30792,30792,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,1.27487,06/12/2017,USD,193.79,247.06,247.06,15.1
30792,30792,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,1.08387,06/12/2017,USD,156.81,169.96,169.96,10.39
30792,30792,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,17.16257,06/12/2017,USD,16.81,288.5,288.5,17.63
30792,30792,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,1.39143,06/12/2017,USD,185.9586,258.75,258.75,15.82
30792,30792,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,1.27687,06/12/2017,USD,129.2771,165.07,165.07,10.09
30792,30792,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),1.42061,06/12/2017,USD,152.13,216.12,216.12,13.21
30792,30792,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),15.38164,06/12/2017,USD,18.89,290.56,290.56,17.76
30792,30792,2,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,1.36952,06/12/2017,USD,193.79,265.4,265.4,15.1
30792,30792,2,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,1.16436,06/12/2017,USD,156.81,182.58,182.58,10.39
30792,30792,2,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,18.43922,06/12/2017,USD,16.81,309.96,309.96,17.63
30792,30792,2,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,1.49507,06/12/2017,USD,185.9586,278.02,278.02,15.82
30792,30792,2,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,1.37218,06/12/2017,USD,129.2771,177.39,177.39,10.09
30792,30792,2,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),1.52637,06/12/2017,USD,152.13,232.21,232.21,13.21
30792,30792,2,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),16.52641,06/12/2017,USD,18.89,312.18,312.18,17.76
31361,31361,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.24886,06/12/2017,USD,193.79,2373.71,18514.91,15.1
31361,31361,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,10.44834,06/12/2017,USD,156.81,1638.4,12779.55,10.42
31361,31361,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,165.99258,06/12/2017,USD,16.81,2790.34,21764.62,17.75
31361,31361,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,13.36839,06/12/2017,USD,185.9586,2485.97,19390.54,15.81
31361,31361,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,12.26571,06/12/2017,USD,129.2771,1585.68,12368.27,10.09
31361,31361,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),13.59838,06/12/2017,USD,152.13,2068.72,16136.03,13.16
31361,31361,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),147.15257,06/12/2017,USD,18.89,2779.71,21681.75,17.68
31361,31361,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,7.45627,06/12/2017,USD,193.79,1444.95,11270.61,15.24
