Policy Number,Contract No.,Coverage No.,Account Type,Fund Code,Fund Name,Units Held,Price Date,Fund Ccy,Price,Amount in Fund Ccy,Amount in Contract Ccy,Portfolio Weighting
28958,28958,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.23112,07/12/2017,USD,193.95,5669.38,44221.13,15.07
28958,28958,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.85146,07/12/2017,USD,157.54,3915.1,30537.77,10.41
28958,28958,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,393.51028,07/12/2017,USD,17.01,6693.61,52210.16,17.79
28958,28958,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.9074,07/12/2017,USD,185.7063,5925.41,46218.16,15.75
28958,28958,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.27907,07/12/2017,USD,129.4582,3790.42,29565.24,10.07
28958,28958,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.57337,07/12/2017,USD,152.13,4955.39,38652.02,13.17
28958,28958,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),352.70092,07/12/2017,USD,18.92,6673.1,52050.19,17.74
28958,28958,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88605,07/12/2017,USD,193.95,171.85,1340.43,15.07
28958,28958,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75329,07/12/2017,USD,157.54,118.67,925.65,10.41
28958,28958,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.92806,07/12/2017,USD,17.01,202.9,1582.59,17.79
28958,28958,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96717,07/12/2017,USD,185.7063,179.61,1400.95,15.75
28958,28958,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.8875,07/12/2017,USD,129.4582,114.89,896.17,10.07
28958,28958,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98736,07/12/2017,USD,152.13,150.21,1171.62,13.17
28958,28958,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69103,07/12/2017,USD,18.92,202.27,1577.74,17.74
30256,30256,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.06226,07/12/2017,USD,193.95,5636.63,43965.68,15.07
30256,30256,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.70793,07/12/2017,USD,157.54,3892.49,30361.4,10.41
30256,30256,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,391.23707,07/12/2017,USD,17.01,6654.94,51908.55,17.79
30256,30256,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.72307,07/12/2017,USD,185.7063,5891.17,45951.16,15.75
30256,30256,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.10995,07/12/2017,USD,129.4582,3768.52,29394.47,10.07
30256,30256,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.38518,07/12/2017,USD,152.13,4926.76,38428.71,13.17
30256,30256,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),350.66328,07/12/2017,USD,18.92,6634.55,51749.48,17.74
30256,30256,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.35193,07/12/2017,USD,193.95,2395.66,18686.12,15.07
30256,30256,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,10.50124,07/12/2017,USD,157.54,1654.37,12904.05,10.41
30256,30256,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,166.28205,07/12/2017,USD,17.01,2828.46,22061.97,17.79
30256,30256,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,13.48274,07/12/2017,USD,185.7063,2503.83,19529.87,15.75
30256,30256,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,12.3723,07/12/2017,USD,129.4582,1601.7,12493.23,10.07
30256,30256,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),13.76443,07/12/2017,USD,152.13,2093.98,16333.07,13.17
30256,30256,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),149.03597,07/12/2017,USD,18.92,2819.76,21994.13,17.74
30256,30256,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88623,07/12/2017,USD,193.95,171.88,1340.7,15.07
30256,30256,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75345,07/12/2017,USD,157.54,118.7,925.85,10.41
30256,30256,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.93046,07/12/2017,USD,17.01,202.94,1582.91,17.79
30256,30256,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96737,07/12/2017,USD,185.7063,179.65,1401.24,15.75
30256,30256,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.88768,07/12/2017,USD,129.4582,114.92,896.36,10.07
30256,30256,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98756,07/12/2017,USD,152.13,150.24,1171.85,13.17
30256,30256,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69318,07/12/2017,USD,18.92,202.31,1578.06,17.74
30792,30792,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,6.47686,07/12/2017,USD,193.95,1256.19,1256.19,15.07
30792,30792,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,5.50643,07/12/2017,USD,157.54,867.48,867.48,10.41
30792,30792,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,87.1917,07/12/2017,USD,17.01,1483.13,1483.13,17.79
30792,30792,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,7.06984,07/12/2017,USD,185.7063,1312.91,1312.91,15.75
30792,30792,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,6.48748,07/12/2017,USD,129.4582,839.86,839.86,10.07
30792,30792,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),7.21743,07/12/2017,USD,152.13,1097.99,1097.99,13.17
30792,30792,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),78.14926,07/12/2017,USD,18.92,1478.58,1478.58,17.74
30792,30792,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,1.27487,07/12/2017,USD,193.95,247.26,247.26,15.07
