Policy Number,Contract No.,Coverage No.,Account Type,Fund Code,Fund Name,Units Held,Price Date,Fund Ccy,Price,Amount in Fund Ccy,Amount in Contract Ccy,Portfolio Weighting
28958,28958,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.23112,01/12/2017,USD,194.83,5695.1,44421.77,15.07
28958,28958,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.85146,01/12/2017,USD,158.37,3935.73,30698.66,10.42
28958,28958,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,393.51028,01/12/2017,USD,17.1,6729.03,52486.4,17.81
28958,28958,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.9074,01/12/2017,USD,187.8821,5994.83,46759.67,15.87
28958,28958,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.27907,01/12/2017,USD,130.5571,3822.59,29816.21,10.12
28958,28958,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.57337,01/12/2017,USD,152.11,4954.74,38646.94,13.11
28958,28958,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),352.70092,01/12/2017,USD,18.85,6648.41,51857.62,17.6
28958,28958,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88605,01/12/2017,USD,194.83,172.63,1346.51,15.07
28958,28958,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75329,01/12/2017,USD,158.37,119.3,930.53,10.42
28958,28958,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.92806,01/12/2017,USD,17.1,203.97,1590.96,17.81
28958,28958,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96717,01/12/2017,USD,187.8821,181.71,1417.37,15.87
28958,28958,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.8875,01/12/2017,USD,130.5571,115.87,903.78,10.12
28958,28958,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98736,01/12/2017,USD,152.11,150.19,1171.46,13.11
28958,28958,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69103,01/12/2017,USD,18.85,201.53,1571.9,17.6
30256,30256,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.06226,01/12/2017,USD,194.83,5662.2,44165.16,15.07
30256,30256,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.70793,01/12/2017,USD,158.37,3912.99,30521.36,10.42
30256,30256,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,391.23707,01/12/2017,USD,17.1,6690.15,52183.2,17.81
30256,30256,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.72307,01/12/2017,USD,187.8821,5960.2,46489.54,15.87
30256,30256,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.10995,01/12/2017,USD,130.5571,3800.51,29643.98,10.12
30256,30256,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.38518,01/12/2017,USD,152.11,4926.11,38423.66,13.11
30256,30256,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),350.66328,01/12/2017,USD,18.85,6610,51558.02,17.6
30256,30256,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.35193,01/12/2017,USD,194.83,2406.53,18770.91,15.07
30256,30256,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,10.50124,01/12/2017,USD,158.37,1663.08,12972.03,10.42
