Policy Number,Contract No.,Coverage No.,Account Type,Fund Code,Fund Name,Units Held,Price Date,Fund Ccy,Price,Amount in Fund Ccy,Amount in Contract Ccy,Portfolio Weighting
28958,28958,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.23112,12/12/2017,USD,196.13,5733.1,44718.18,15.15
28958,28958,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.85146,12/12/2017,USD,159.18,3955.86,30855.67,10.45
28958,28958,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,393.51028,12/12/2017,USD,17.06,6713.29,52363.63,17.74
28958,28958,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.9074,12/12/2017,USD,187.8181,5992.79,46743.74,15.83
28958,28958,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.27907,12/12/2017,USD,131.1189,3839.04,29944.51,10.14
28958,28958,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.57337,12/12/2017,USD,152.15,4956.04,38657.1,13.1
28958,28958,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),352.70092,12/12/2017,USD,18.87,6655.47,51912.64,17.59
28958,28958,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88605,12/12/2017,USD,196.13,173.78,1355.49,15.15
28958,28958,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75329,12/12/2017,USD,159.18,119.91,935.29,10.45
28958,28958,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.92806,12/12/2017,USD,17.06,203.49,1587.24,17.74
28958,28958,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96717,12/12/2017,USD,187.8181,181.65,1416.89,15.83
28958,28958,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.8875,12/12/2017,USD,131.1189,116.37,907.67,10.14
28958,28958,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98736,12/12/2017,USD,152.15,150.23,1171.77,13.1
28958,28958,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69103,12/12/2017,USD,18.87,201.74,1573.57,17.59
30256,30256,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.06226,12/12/2017,USD,196.13,5699.98,44459.85,15.15
30256,30256,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.70793,12/12/2017,USD,159.18,3933.01,30677.46,10.45
30256,30256,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,391.23707,12/12/2017,USD,17.06,6674.5,52061.13,17.74
30256,30256,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.72307,12/12/2017,USD,187.8181,5958.17,46473.7,15.83
30256,30256,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.10995,12/12/2017,USD,131.1189,3816.86,29771.54,10.14
30256,30256,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.38518,12/12/2017,USD,152.15,4927.41,38433.76,13.1
30256,30256,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),350.66328,12/12/2017,USD,18.87,6617.02,51612.73,17.59
30256,30256,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.35193,12/12/2017,USD,196.13,2422.58,18896.16,15.15
30256,30256,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,10.50124,12/12/2017,USD,159.18,1671.59,13038.38,10.45
30256,30256,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,166.28205,12/12/2017,USD,17.06,2836.77,22126.82,17.74
30256,30256,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,13.48274,12/12/2017,USD,187.8181,2532.3,19751.96,15.83
30256,30256,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,12.3723,12/12/2017,USD,131.1189,1622.24,12653.49,10.14
