Policy Number,Contract No.,Coverage No.,Account Type,Fund Code,Fund Name,Units Held,Price Date,Fund Ccy,Price,Amount in Fund Ccy,Amount in Contract Ccy,Portfolio Weighting
28958,28958,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.08496,08/01/2018,USD,201.21,5852.18,45647.04,15.11
28958,28958,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.7272,08/01/2018,USD,166.2,4109.66,32055.35,10.61
28958,28958,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,391.54273,08/01/2018,USD,18,7047.77,54972.6,18.2
28958,28958,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.74786,08/01/2018,USD,195.8677,6218.38,48503.37,16.06
28958,28958,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.13267,08/01/2018,USD,135.3831,3944.07,30763.76,10.18
28958,28958,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.4105,08/01/2018,USD,152.25,4934.5,38489.09,12.74
28958,28958,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),350.93742,08/01/2018,USD,18.87,6622.19,51653.08,17.1
28958,28958,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88605,08/01/2018,USD,201.21,178.28,1390.6,15.11
28958,28958,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75329,08/01/2018,USD,166.2,125.2,976.54,10.61
28958,28958,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.92806,08/01/2018,USD,18,214.71,1674.7,18.2
28958,28958,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96717,08/01/2018,USD,195.8677,189.44,1477.61,16.06
28958,28958,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.8875,08/01/2018,USD,135.3831,120.15,937.19,10.18
28958,28958,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98736,08/01/2018,USD,152.25,150.33,1172.54,12.74
28958,28958,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69103,08/01/2018,USD,18.87,201.74,1573.57,17.1
30256,30256,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,28.91695,08/01/2018,USD,201.21,5818.38,45383.36,15.11
30256,30256,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.58439,08/01/2018,USD,166.2,4085.93,31870.22,10.61
30256,30256,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,389.28088,08/01/2018,USD,18,7007.06,54655.04,18.2
30256,30256,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.56445,08/01/2018,USD,195.8677,6182.46,48223.16,16.06
30256,30256,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,28.9644,08/01/2018,USD,135.3831,3921.29,30586.06,10.18
30256,30256,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.22325,08/01/2018,USD,152.25,4905.99,38266.72,12.74
30256,30256,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),348.90996,08/01/2018,USD,18.87,6583.93,51354.66,17.1
30256,30256,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.3231,08/01/2018,USD,201.21,2479.53,19340.34,15.11
30256,30256,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,10.47673,08/01/2018,USD,166.2,1741.23,13581.61,10.61
30256,30256,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,165.89413,08/01/2018,USD,18,2986.09,23291.54,18.2
30256,30256,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,13.45126,08/01/2018,USD,195.8677,2634.67,20550.41,16.06
30256,30256,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,12.34346,08/01/2018,USD,135.3831,1671.1,13034.55,10.18
30256,30256,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),13.73229,08/01/2018,USD,152.25,2090.74,16307.78,12.74
30256,30256,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),148.68812,08/01/2018,USD,18.87,2805.74,21884.81,17.1
30256,30256,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88623,08/01/2018,USD,201.21,178.32,1390.88,15.11
30256,30256,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75345,08/01/2018,USD,166.2,125.22,976.74,10.61
30256,30256,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.93046,08/01/2018,USD,18,214.75,1675.04,18.2
30256,30256,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96737,08/01/2018,USD,195.8677,189.48,1477.92,16.06
30256,30256,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.88768,08/01/2018,USD,135.3831,120.18,937.38,10.18
30256,30256,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98756,08/01/2018,USD,152.25,150.36,1172.78,12.74
30256,30256,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69318,08/01/2018,USD,18.87,201.78,1573.89,17.1
30792,30792,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,6.44448,08/01/2018,USD,201.21,1296.69,1296.69,15.11
30792,30792,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,5.4789,08/01/2018,USD,166.2,910.59,910.59,10.61
30792,30792,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,86.75574,08/01/2018,USD,18,1561.6,1561.6,18.2
30792,30792,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,7.03449,08/01/2018,USD,195.8677,1377.83,1377.83,16.06
30792,30792,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,6.45504,08/01/2018,USD,135.3831,873.9,873.9,10.18
30792,30792,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),7.18134,08/01/2018,USD,152.25,1093.36,1093.36,12.74
30792,30792,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),77.75851,08/01/2018,USD,18.87,1467.3,1467.3,17.1
30792,30792,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,1.26837,08/01/2018,USD,201.21,255.21,255.21,15.11
30792,30792,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,1.07838,08/01/2018,USD,166.2,179.23,179.23,10.61
30792,30792,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,17.07544,08/01/2018,USD,18,307.36,307.36,18.2
30792,30792,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,1.38435,08/01/2018,USD,195.8677,271.15,271.15,16.05
30792,30792,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,1.27037,08/01/2018,USD,135.3831,171.99,171.99,10.18
30792,30792,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),1.41338,08/01/2018,USD,152.25,215.19,215.19,12.74
