Policy Number,Contract No.,Coverage No.,Account Type,Fund Code,Fund Name,Units Held,Price Date,Fund Ccy,Price,Amount in Fund Ccy,Amount in Contract Ccy,Portfolio Weighting
28958,28958,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,29.08496,12/01/2018,USD,204.08,5935.66,46298.14,15.2
28958,28958,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.7272,15/01/2018,USD,170.07,4205.35,32801.77,10.77
28958,28958,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,391.54273,15/01/2018,USD,18.09,7083.01,55247.46,18.14
28958,28958,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.74786,12/01/2018,USD,197.7461,6278.02,48968.52,16.08
28958,28958,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,29.13267,12/01/2018,USD,137.1306,3994.98,31160.85,10.23
28958,28958,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.4105,15/01/2018,USD,152.28,4935.47,38496.67,12.64
28958,28958,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),350.93742,15/01/2018,USD,18.83,6608.15,51543.58,16.93
28958,28958,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88605,12/01/2018,USD,204.08,180.83,1410.44,15.2
28958,28958,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75329,15/01/2018,USD,170.07,128.11,999.27,10.77
28958,28958,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.92806,15/01/2018,USD,18.09,215.78,1683.07,18.14
28958,28958,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96717,12/01/2018,USD,197.7461,191.25,1491.78,16.08
28958,28958,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.8875,12/01/2018,USD,137.1306,121.7,949.29,10.23
28958,28958,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98736,15/01/2018,USD,152.28,150.36,1172.77,12.64
28958,28958,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69103,15/01/2018,USD,18.83,201.31,1570.23,16.93
30256,30256,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,28.91695,12/01/2018,USD,204.08,5901.37,46030.7,15.2
30256,30256,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,24.58439,15/01/2018,USD,170.07,4181.07,32612.32,10.77
30256,30256,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,389.28088,15/01/2018,USD,18.09,7042.09,54928.31,18.14
30256,30256,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,31.56445,12/01/2018,USD,197.7461,6241.75,48685.63,16.08
30256,30256,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,28.9644,12/01/2018,USD,137.1306,3971.91,30980.86,10.23
30256,30256,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),32.22325,15/01/2018,USD,152.28,4906.96,38274.26,12.64
30256,30256,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),348.90996,15/01/2018,USD,18.83,6569.97,51245.8,16.93
30256,30256,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.3231,12/01/2018,USD,204.08,2514.9,19616.21,15.2
30256,30256,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,10.47673,15/01/2018,USD,170.07,1781.78,13897.86,10.77
30256,30256,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,165.89413,15/01/2018,USD,18.09,3001.02,23407.99,18.14
30256,30256,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,13.45126,12/01/2018,USD,197.7461,2659.93,20747.49,16.08
30256,30256,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,12.34346,12/01/2018,USD,137.1306,1692.67,13202.8,10.23
30256,30256,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),13.73229,15/01/2018,USD,152.28,2091.15,16310.99,12.64
30256,30256,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),148.68812,15/01/2018,USD,18.83,2799.8,21838.42,16.93
30256,30256,2,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,0.88623,12/01/2018,USD,204.08,180.86,1410.72,15.2
30256,30256,2,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,0.75345,15/01/2018,USD,170.07,128.14,999.49,10.77
30256,30256,2,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,11.93046,15/01/2018,USD,18.09,215.82,1683.41,18.14
30256,30256,2,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,0.96737,12/01/2018,USD,197.7461,191.29,1492.09,16.08
30256,30256,2,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,0.88768,12/01/2018,USD,137.1306,121.73,949.48,10.23
30256,30256,2,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),0.98756,15/01/2018,USD,152.28,150.39,1173.01,12.64
30256,30256,2,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),10.69318,15/01/2018,USD,18.83,201.35,1570.55,16.93
30792,30792,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,6.44448,12/01/2018,USD,204.08,1315.19,1315.19,15.2
30792,30792,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,5.4789,15/01/2018,USD,170.07,931.8,931.8,10.77
30792,30792,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,86.75574,15/01/2018,USD,18.09,1569.41,1569.41,18.14
30792,30792,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,7.03449,12/01/2018,USD,197.7461,1391.04,1391.04,16.08
30792,30792,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,6.45504,12/01/2018,USD,137.1306,885.18,885.18,10.23
30792,30792,1,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),7.18134,15/01/2018,USD,152.28,1093.57,1093.57,12.64
30792,30792,1,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),77.75851,15/01/2018,USD,18.83,1464.19,1464.19,16.93
30792,30792,1,Accumulation,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,1.26837,12/01/2018,USD,204.08,258.85,258.85,15.2
30792,30792,1,Accumulation,06IU,Investec GSF Global Dynamic Fund - A acc,1.07838,15/01/2018,USD,170.07,183.4,183.4,10.77
30792,30792,1,Accumulation,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,17.07544,15/01/2018,USD,18.09,308.89,308.89,18.14
30792,30792,1,Accumulation,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,1.38435,12/01/2018,USD,197.7461,273.75,273.75,16.08
30792,30792,1,Accumulation,18CU,Schroder International Selection Fund - US Large Cap - A1,1.27037,12/01/2018,USD,137.1306,174.21,174.21,10.23
30792,30792,1,Accumulation,28MU,BGF US Dollar Reserve Fund - USD (A2),1.41338,15/01/2018,USD,152.28,215.23,215.23,12.64
30792,30792,1,Accumulation,52MU,BGF US Government Mortgage Fund - USD (A2),15.30333,15/01/2018,USD,18.83,288.16,288.16,16.93
30792,30792,2,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,1.3618,12/01/2018,USD,204.08,277.92,277.92,15.2
30792,30792,2,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,1.15779,15/01/2018,USD,170.07,196.91,196.91,10.77
30792,30792,2,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,18.33548,15/01/2018,USD,18.09,331.69,331.69,18.14
30792,30792,2,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,1.48665,12/01/2018,USD,197.7461,293.98,293.98,16.08
30792,30792,2,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,1.36448,12/01/2018,USD,137.1306,187.11,187.11,10.23
30792,30792,2,Initial,28MU,BGF US Dollar Reserve Fund - USD (A2),1.51774,15/01/2018,USD,152.28,231.12,231.12,12.64
30792,30792,2,Initial,52MU,BGF US Government Mortgage Fund - USD (A2),16.4332,15/01/2018,USD,18.83,309.44,309.44,16.93
31361,31361,1,Initial,04LU,Legg Mason ClearBridge US Appreciation Fund - Class A Acc,12.18762,12/01/2018,USD,204.08,2487.25,19400.55,15.2
31361,31361,1,Initial,06IU,Investec GSF Global Dynamic Fund - A acc,10.3961,15/01/2018,USD,170.07,1768.06,13790.9,10.8
31361,31361,1,Initial,07TU,Franklin Templeton Investment Funds - Franklin Technology Fund - A acc,165.16262,15/01/2018,USD,18.09,2987.79,23304.78,18.26
31361,31361,1,Initial,17CU,Schroder International Selection Fund - Global Equity Alpha - A1,13.30155,12/01/2018,USD,197.7461,2630.33,20516.57,16.07
31361,31361,1,Initial,18CU,Schroder International Selection Fund - US Large Cap - A1,12.20438,12/01/2018,USD,137.1306,1673.59,13054.03,10.23
