 Policy Number,PolicyNum,PTVPlanDesc,Status,Commencementdate,IssueDate,BasisType,PlanCurrency,PolicyFee,ApplicationDate,InitialPayDateReg,InitialPayDateSng,CurrentRegularPrem,RegularPremiumFreq,NextRenewalDate,LastPremPaidDate,PolicyTerm,PremiumsPaidTotal,SinglPremiumsTotal,UnsettledPremiums,PremOSTotal,Currentfundholding,CurrentSurrenderval,PremHolOption
8100666,8100666,Pacific,In force,42736,18/12/2016,SL,HKD,720,42502,18/12/2016,0,72000,Annual,43466,43221,55,144000,0,0,0,158484.72,0,N
8103619,8103619,Vista,In force,41650,23/10/2014,SL,HKD,720,14/10/2014,23/10/2014,0,2400,Monthly,43103,42898,25,155200,0,2400,0,227954.35,0,N
8103662,8103662,Vista,In force,41650,30/10/2014,JLFD,HKD,720,17/10/2014,30/10/2014,0,3000,Monthly,43103,43221,25,252000,0,0,0,417934.44,0,N
8103662,8103662,Vista,In force,41650,30/10/2014,JLFD,HKD,720,17/10/2014,30/10/2014,0,3000,Monthly,43103,43221,25,252000,0,0,0,417934.44,0,N
8103767,8103767,Vista,In force,41650,26/10/2014,JLFD,HKD,720,17/10/2014,26/10/2014,0,6500,Monthly,43103,43221,25,605000,0,0,0,1006715.13,0,N
8103767,8103767,Vista,In force,41650,26/10/2014,JLFD,HKD,720,17/10/2014,26/10/2014,0,6500,Monthly,43103,43221,25,605000,0,0,0,1006715.13,0,N
8104675,8104675,Vista,Premium ceased,41650,28/10/2014,SL,HKD,720,20/10/2014,28/10/2014,0,2500,Monthly,42747,25/09/2017,25,90000,0,0,0,96667.43,0,N
8105512,8105512,Vista,In force,40551,31/08/2011,SL,HKD,720,22/07/2011,30/08/2011,0,2400,Monthly,43103,43221,19,103200,0,0,0,119600.39,0,N
8106311,8106311,Pacific,In force,42381,14/12/2016,SL,USD,90,42533,14/12/2016,0,12000,Annual,43112,18/12/2017,65,24000,0,0,0,28268.69,0,N
8106328,8106328,Pacific,In force,42381,13/12/2016,SL,USD,90,42533,13/12/2016,0,750,Monthly,43103,22/12/2017,64,9750,0,750,0,11513.62,0,N
8107295,8107295,Pacific,In force,42374,42587,SL,HKD,720,42494,42587,0,31860,Monthly,43103,43221,64,669060,0,0,0,1056844.91,0,N
8108380,8108380,Pacific,In force,42377,42590,SL,HKD,720,42586,42590,0,10000,Monthly,43103,43221,65,180000,0,0,0,232634.8,0,N
8109050,8109050,Pacific,In force,42374,26/04/2016,SL,HKD,720,42708,26/04/2016,0,24000,Monthly,43103,43221,55,504000,0,0,0,786912.89,0,N
8109581,8109581,Pacific,Premium ceased,42374,42587,SL,HKD,720,26/03/2016,42587,0,4000,Monthly,42738,42530,74,20000,0,0,0,20655.8,0,N
8110328,8110328,Vista,Premium ceased,40184,40335,SL,HKD,720,29/05/2010,40274,0,2400,Monthly,43103,43374,25,289800,0,0,0,409660.27,0,N
8113758,8113758,Pacific,In force,42736,18/12/2016,SL,USD,90,42625,18/12/2016,0,12000,Annual,43466,43221,57,24000,0,0,0,28778.16,0,N
8115058,8115058,Pacific,In force,42374,24/04/2016,SL,HKD,720,16/04/2016,24/04/2016,0,4000,Monthly,43103,43221,72,84000,0,0,0,90468.14,0,N
8115067,8115067,Pacific,In force,42374,30/04/2016,SL,HKD,720,17/04/2016,30/04/2016,0,8000,Monthly,43103,43221,66,168000,0,0,0,212651.62,0,N
8115659,8115659,Vista,In force,41284,41466,JLFD,USD,90,21/09/2013,41375,0,1600,Monthly,43103,43221,25,83200,0,0,0,117097.51,0,N
8115659,8115659,Vista,In force,41284,41466,JLFD,USD,90,21/09/2013,41375,0,1600,Monthly,43103,43221,25,83200,0,0,0,117097.51,0,N
8116614,8116614,Vista,In force,41650,31/10/2014,SL,USD,90,24/10/2014,31/10/2014,0,7650,Monthly,43103,43221,25,298350,0,0,0,435307.69,0,N
8118219,8118219,Pacific,Surrendered,42374,42618,SL,USD,90,23/04/2016,42618,0,0,Single Premium,0,24/06/2016,72,2250,0,0,0,0,0,N
8118227,8118227,Pacific,In force,42374,42465,SL,HKD,720,23/04/2016,42465,0,7000,Monthly,43103,43221,65,147000,0,0,0,172728.06,0,N
8118236,8118236,Pacific,In force,42374,30/04/2016,SL,USD,90,23/04/2016,30/04/2016,0,850,Monthly,43103,43221,69,17850,0,0,0,20597.6,0,N
8118254,8118254,Pacific,In force,42374,42587,SL,HKD,720,24/04/2016,42587,0,6000,Monthly,43103,43221,68,126000,0,0,0,150707.43,0,N
8118786,8118786,Pacific,In force,42736,27/12/2016,SL,HKD,720,17/12/2016,27/12/2016,0,6000,Monthly,43103,24/01/2018,64,84000,0,0,0,92101.99,0,N
8119766,8119766,Pacific,In force,42736,29/12/2016,SL,HKD,720,21/12/2016,29/12/2016,0,72000,Annual,43466,43435,64,144000,0,0,0,158005.39,0,N
8121807,8121807,Pacific,In force,42736,42856,SL,USD,90,29/12/2016,42856,0,24000,Annual,43466,43221,64,48000,0,0,0,61103.27,0,N
8124547,8124547,Pacific,In force,42736,43009,SL,USD,90,31/12/2016,43009,0,9000,Annual,43466,43221,66,18000,0,0,0,19740.92,0,N
8124565,8124565,Pacific,In force,42737,18/01/2017,SL,USD,90,31/12/2016,18/01/2017,0,24000,Annual,43467,17/01/2017,68,24000,0,0,0,36982.68,0,N
8124581,8124581,Pacific,In force,42738,28/02/2017,SL,USD,90,30/12/2016,28/02/2017,0,12000,Annual,43103,28/02/2017,67,12000,0,0,0,15851.74,0,N
8124735,8124735,Pacific,In force,42736,43070,SL,USD,90,42795,43070,0,1000,Monthly,43103,43040,57,12000,0,1000,0,16171.85,0,N
8127024,8127024,Pacific,In force,42374,42648,SL,HKD,720,26/04/2016,42648,0,8000,Monthly,43103,43221,66,168000,0,0,0,213659.95,0,N
8128241,8128241,Pacific,In force,42374,15/05/2016,SL,HKD,720,42587,15/05/2016,0,6000,Monthly,43103,43221,70,126000,0,0,0,150797.3,0,N
8129502,8129502,Pacific,In force,42737,17/01/2017,SL,USD,90,43009,17/01/2017,0,9000,Annual,43467,16/01/2017,79,9000,0,0,0,10660.83,0,N
8129502,8129502,Pacific,In force,42737,17/01/2017,SL,USD,90,43009,17/01/2017,0,9000,Annual,43467,16/01/2017,79,9000,0,0,0,10660.83,0,N
8137151,8137151,Pacific,In force,42375,42527,SL,HKD,720,42648,42527,0,4000,Monthly,43103,24/01/2018,71,84000,0,0,0,86017.96,0,N
8137552,8137552,Vista,In force,40186,16/08/2010,SL,HKD,720,23/07/2010,16/08/2010,0,4000,Monthly,43103,43221,25,613000,0,0,0,882844.78,0,N
8144050,8144050,Pacific,In force,42376,42650,SL,HKD,720,21/05/2016,42650,0,4000,Monthly,43103,43221,58,76000,0,0,0,80752.34,0,N
8148935,8148935,Pacific,In force,42375,15/06/2016,SL,HKD,720,31/05/2016,15/06/2016,0,4024.16,Monthly,43103,24/01/2018,60,84507.44,0,0,0,86624.25,0,N
8155982,8155982,Pacific,In force,42376,19/06/2016,SL,HKD,720,42649,19/06/2016,0,4000,Monthly,43103,43221,71,76000,0,0,0,82302.38,0,N
8161777,8161777,Pacific,In force,42377,20/07/2016,SL,HKD,720,23/06/2016,20/07/2016,0,4000,Monthly,43103,24/10/2017,66,64000,0,8000,0,68025.99,0,N
8161974,8161974,Pacific,In force,42376,42650,SL,USD,90,24/06/2016,42650,0,24000,Annual,43107,22/06/2017,66,48000,0,0,0,66299.57,0,N
8165955,8165955,Vista,In force,40188,40278,SL,HKD,720,14/09/2010,40278,0,3000,Monthly,43103,26/01/2015,20,289000,0,0,0,372960.42,0,N
8178228,8178228,Vista,In force,41651,24/11/2014,SL,HKD,720,41984,24/11/2014,0,14400,6 Monthly,43106,42898,25,283200,0,0,0,451377.53,0,N
8178236,8178236,Vista,In force,41651,18/11/2014,SL,HKD,720,41984,17/11/2014,0,28800,Annual,43112,42898,25,192000,0,0,0,244863.14,0,N
8178597,8178597,Vista,Premium ceased,41651,20/11/2014,SL,HKD,720,41893,20/11/2014,0,32500,Monthly,42376,24/05/2016,25,585000,0,0,0,1124146.17,0,N
8191615,8191615,Vista,Premium ceased,41651,25/11/2014,SL,HKD,720,16/10/2014,25/11/2014,0,5600,Monthly,42376,25/04/2016,25,100800,0,0,0,180381.18,0,N
8191624,8191624,Vista,In force,41651,20/11/2014,SL,HKD,720,41862,20/11/2014,0,5600,Monthly,43103,43221,25,212800,0,0,0,315863.74,0,N
8198369,8198369,Vista,In force,41651,41710,SL,HKD,720,16/11/2014,41710,0,2400,Monthly,43103,43221,25,171200,0,0,0,256072.64,0,N
8198475,8198475,Vista,Premium ceased,42005,28/12/2014,SL,HKD,720,18/11/2014,28/12/2014,0,10000,Monthly,42378,42528,25,190000,0,0,0,357106.83,0,N
8207784,8207784,Vista,In force,42005,21/12/2014,SL,HKD,720,25/11/2014,21/12/2014,0,5600,Monthly,43103,43221,25,207200,0,0,0,286856.03,0,N
8209884,8209884,Vista,In force,42005,17/12/2014,SL,HKD,720,26/11/2014,17/12/2014,0,5000,Monthly,43103,43221,25,385000,0,0,0,657215.5,0,N
8218009,8218009,Vista,In force,41651,14/12/2014,SL,HKD,720,41741,14/12/2014,0,390000,Annual,43112,43081,25,1560000,0,0,0,2204572.06,0,N
